BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
65;0a3f5086-6238-32b8-e044-0003ba298018;1318719;120;108.0;2018;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;7.2684;>1998;72;7.776;694126.72;6112419.82;POINT(694126.72 6112419.82);
66;0a3f5085-5fbe-32b8-e044-0003ba298018;541124;120;210.0;2015;Elovne, elpaneler;Elektricitet;1;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;14.133;>1998;72;15.12;693315.55;6098850.34;POINT(693315.55 6098850.34);
67;0a3f5086-6a34-32b8-e044-0003ba298018;1314675;120;100.0;1940;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);90;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;16.41;1931-1950;217;21.7;693906.64;6107848.43;POINT(693906.64 6107848.43);
68;0ea84e3c-5110-1cba-e044-0003ba298018;2667384;120;118.0;2007;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;90;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;7.9414;>1998;72;8.496;693746.75;6112401.12;POINT(693746.75 6112401.12);
69;0a3f5087-2854-32b8-e044-0003ba298018;2112684;510;14.0;2002;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1999-2006;90.8;1.2712;>1998;40;0.56;680788.85;6105108.59;POINT(680788.85 6105108.59);
70;0a3f5085-8b0e-32b8-e044-0003ba298018;2476780;510;64.0;1977;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1973-1978;126.6;8.1024;1973-1978;58;3.712;695784.0;6090562.63;POINT(695784 6090562.63);
71;0a3f5087-3533-32b8-e044-0003ba298018;2117846;120;173.0;1988;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;18.2342;1979-1998;90;15.57;687292.74;6099684.68;POINT(687292.74 6099684.68);
72;0a3f5085-658a-32b8-e044-0003ba298018;541651;130;175.0;1872;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Række-, kæde-, dobbelthus (lodret adskillelse mellem enhederne);Række-, kæde og dobbelthuse;Private husholdninger;Før 1890;158.2;27.684999999999995;<1930;175;30.625;693128.49;6096420.49;POINT(693128.49 6096420.49);
73;0a3f5086-65d3-32b8-e044-0003ba298018;1315917;120;93.0;1975;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;11.141399999999999;1973-1978;117;10.881;687863.06;6110339.03;POINT(687863.06 6110339.03);
74;0a3f5087-373f-32b8-e044-0003ba298018;2119412;120;143.0;1985;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;15.0722;1979-1998;90;12.87;689179.61;6098924.68;POINT(689179.61 6098924.68);
